iter	Logloss
0	0.6857693149
1	0.6776590596
2	0.6701866078
3	0.6626920793
4	0.6553643415
5	0.646839222
6	0.6403871022
7	0.6333166798
8	0.6266458753
9	0.6198557842
10	0.6132714298
11	0.607143743
12	0.6015938105
13	0.5963368687
14	0.5901254034
15	0.5844296232
16	0.5790225813
17	0.5740794001
18	0.5684605736
19	0.5629161555
20	0.5586253115
21	0.5534797745
22	0.5477912844
23	0.5435937807
24	0.5380070645
25	0.5329871534
26	0.528919698
27	0.5243672643
28	0.520574465
29	0.5164594505
30	0.5127823321
31	0.5083704057
32	0.5048779787
33	0.5005280715
34	0.4964618541
35	0.4931978057
36	0.4889839424
37	0.4841532133
38	0.4797958917
39	0.4753293073
40	0.4720899134
41	0.4690985502
42	0.4664374064
43	0.4633911864
44	0.4598482832
45	0.4573422918
46	0.4548327469
47	0.4520389419
48	0.4496948115
49	0.4471949374
50	0.4446654087
51	0.4411418021
52	0.4386468599
53	0.4363138456
54	0.4333518752
55	0.4311039527
56	0.4279400634
57	0.4251416471
58	0.4231225309
59	0.4204659621
60	0.4181281261
61	0.4154095617
62	0.4136522455
63	0.4116864013
64	0.4098982072
65	0.4084558299
66	0.4067620001
67	0.4048939542
68	0.4028244467
69	0.4004463939
70	0.3987457353
71	0.3969618049
72	0.3950802116
73	0.3930746262
74	0.3911053051
75	0.3889225547
76	0.3867405835
77	0.3853673522
78	0.3835924233
79	0.3822203361
80	0.3808676557
81	0.3794066914
82	0.3778157728
83	0.3755636253
84	0.3742416448
85	0.3733955247
86	0.3722261176
87	0.3708075837
88	0.3691942992
89	0.3681101511
90	0.3665463397
91	0.3653035025
92	0.3636594226
93	0.3626355195
94	0.3612259571
95	0.3595655115
96	0.3583998329
97	0.3573457771
98	0.3561003528
99	0.3550228856
100	0.353742004
101	0.3528390376
102	0.3514624308
103	0.3500090918
104	0.3487928177
105	0.3476581379
106	0.3461331656
107	0.3454107747
108	0.3441776414
109	0.3429830376
110	0.341988239
111	0.3407889409
112	0.339436623
113	0.3380037271
114	0.3373896215
115	0.336649955
116	0.3357290713
117	0.3347062234
118	0.3338680503
119	0.3332336773
120	0.3323231071
121	0.3313259969
122	0.3301414754
123	0.3289533331
124	0.3278824725
125	0.3269508967
126	0.3261837888
127	0.3251537967
128	0.3240895822
129	0.3232728532
130	0.3225362392
131	0.3214296629
132	0.3206177554
133	0.3198956686
134	0.3189223217
135	0.3180167043
136	0.3170216463
137	0.3162237081
138	0.3153935475
139	0.3147270185
140	0.3140931819
141	0.3133681946
142	0.3128216959
143	0.3120115891
144	0.3109497436
145	0.3104912517
146	0.3098453481
147	0.3090161924
148	0.3084731168
149	0.3074671583
150	0.3066326843
151	0.3060510399
152	0.3055246168
153	0.304925497
154	0.3040215794
155	0.3032870787
156	0.3023994978
157	0.3016978528
158	0.3012347105
159	0.300609247
160	0.2999311154
161	0.2991315136
162	0.2983726954
163	0.2975801297
164	0.2968438313
165	0.2961687703
166	0.2954592938
167	0.2946970314
168	0.2939898812
169	0.2934477339
170	0.2928911653
171	0.292252779
172	0.2916120303
173	0.2910077466
174	0.2905959889
175	0.2898888908
176	0.2891159727
177	0.2886977997
178	0.2880821515
179	0.287660884
180	0.2870924422
181	0.2864395844
182	0.2855574142
183	0.2850248336
184	0.2843331155
185	0.2837609846
186	0.2832220756
187	0.2826602774
188	0.2820817737
189	0.2815652483
190	0.281317978
191	0.280854499
192	0.280298932
193	0.2797317971
194	0.2790327118
195	0.2783508907
196	0.2777331871
197	0.27705654
198	0.2766178071
199	0.2760826312
200	0.2755734742
201	0.275104728
202	0.2747129223
203	0.2740885904
204	0.2737088357
205	0.2731761688
206	0.2726388009
207	0.2720000447
208	0.2715849727
209	0.2712475238
210	0.2708802164
211	0.2704425899
212	0.2700644401
213	0.269542379
214	0.2689557783
215	0.2684934868
216	0.2679351151
217	0.2675654974
218	0.2669889576
219	0.266577298
220	0.2661671767
221	0.2656646501
222	0.2651219908
223	0.264585568
224	0.2641231106
225	0.2635958014
226	0.2633401179
227	0.2628061841
228	0.2624200268
229	0.2619235477
230	0.2615270159
231	0.2610330817
232	0.2603311887
233	0.259958843
234	0.2594407964
235	0.2590651175
236	0.258483513
237	0.2580285437
238	0.2575665635
239	0.2571790256
240	0.2567493087
241	0.256295089
242	0.2560142541
243	0.2557419395
244	0.255199104
245	0.254650184
246	0.2542992695
247	0.2539982239
248	0.2534271085
249	0.2529841674
250	0.2526452671
251	0.2521856128
252	0.2517903735
253	0.2515087944
254	0.2511703996
255	0.2508604675
256	0.2503354286
257	0.2499102666
258	0.2496420763
259	0.2492527957
260	0.2489188387
261	0.2485754549
262	0.2480557038
263	0.2473892934
264	0.2470177699
265	0.2467052989
266	0.2462752665
267	0.2458657358
268	0.2454098871
269	0.245073085
270	0.2446376426
271	0.244421136
272	0.2438765945
273	0.243383742
274	0.2428965263
275	0.2425960547
276	0.2421795962
277	0.2417991529
278	0.2415013744
279	0.2412524147
280	0.2410402645
281	0.240437074
282	0.240142159
283	0.2398790263
284	0.2395849721
285	0.2393301601
286	0.239010496
287	0.2386085339
288	0.2382824929
289	0.237869868
290	0.2373749573
291	0.2368752835
292	0.2363590829
293	0.2360448057
294	0.2356915342
295	0.2352148177
296	0.2348856949
297	0.23449133
298	0.2340664199
299	0.2336440018
300	0.2332052441
301	0.2328319733
302	0.2324960671
303	0.2322460533
304	0.2319123353
305	0.2316961407
306	0.2312481417
307	0.2307949457
308	0.2304111765
309	0.2299672874
310	0.2295821103
311	0.2292772502
312	0.2290637407
313	0.2287587481
314	0.2284140745
315	0.2280525753
316	0.2278916608
317	0.2276964611
318	0.2273332413
319	0.2268967633
320	0.226682078
321	0.2262792639
322	0.2260492626
323	0.2257677333
324	0.225398987
325	0.2251113552
326	0.2249251438
327	0.2246264176
328	0.2243502052
329	0.2241828441
330	0.223927209
331	0.2236869502
332	0.223384405
333	0.2230970346
334	0.2228130132
335	0.2225075493
336	0.2221883427
337	0.2218254299
338	0.2215262668
339	0.2212527709
340	0.220967899
341	0.2205084669
342	0.2201222672
343	0.2199930044
344	0.2196890092
345	0.2194075875
346	0.2190568627
347	0.2187329827
348	0.2185366876
349	0.218315181
350	0.217882592
351	0.217460498
352	0.2172537328
353	0.216922804
354	0.2165246321
355	0.2161848953
356	0.2158208355
357	0.2156667717
358	0.2153781358
359	0.2152178256
360	0.2150387439
361	0.2147902087
362	0.214530345
363	0.214260532
364	0.2139499425
365	0.213556513
366	0.2133329723
367	0.2131260093
368	0.2127213299
369	0.2125232862
370	0.2121015119
371	0.2119419019
372	0.2115642274
373	0.2111977827
374	0.2109936829
375	0.2108070551
376	0.2106758837
377	0.21037157
378	0.2101177744
379	0.2098328493
380	0.2094068667
381	0.2091489978
382	0.2087688288
383	0.2086481628
384	0.2084753736
385	0.2081901951
386	0.2078212947
387	0.2076261209
388	0.2072687184
389	0.2071246032
390	0.2069043253
391	0.2066197356
392	0.2063629275
393	0.2062394769
394	0.2059287134
395	0.2056744824
396	0.2054264808
397	0.2050553107
398	0.2048594747
399	0.2045718193
400	0.2043612647
401	0.2040483235
402	0.2037547033
403	0.2033545416
404	0.2031267743
405	0.2028989808
406	0.2026222344
407	0.2023732142
408	0.2020766744
409	0.2018047721
410	0.2015326672
411	0.2014007901
412	0.2011656293
413	0.2008830887
414	0.2006283367
415	0.2004562228
416	0.2001558351
417	0.19996891
418	0.1998007577
419	0.199648106
420	0.1992932602
421	0.1989855496
422	0.1987823712
423	0.1984574431
424	0.1982211985
425	0.1979737647
426	0.1975981474
427	0.1972270034
428	0.1970404769
429	0.1967594174
430	0.1964470877
431	0.1962747273
432	0.1959760021
433	0.1957641063
434	0.1953534009
435	0.1951761833
436	0.194951875
437	0.1947805008
438	0.1945750366
439	0.1943833816
440	0.1941611727
441	0.1938711223
442	0.1936800854
443	0.1935224559
444	0.1932864747
445	0.1929952957
446	0.1927944346
447	0.1924850813
448	0.192241072
449	0.1920818221
450	0.1919924743
451	0.1917080145
452	0.1915317103
453	0.1913113686
454	0.191025958
455	0.1908365398
